PDF name,Passage number,Reading Passage,Directions,Passage title (if any),Question number,Questions,Cognitive reasoning category,Item type,Item_type (multiple_choice or written_response),Choice_1,Choice_2,Choice_3,Choice_4,Text_in_box_in_passage,Text_in_box_in_question,Text_in_box_in_option,Correct answer,Percent students answering correctly,Percent of students selecting_choice 1,Percent of students selecting_choice 2,Percent of students selecting_choice 3,Percent of students selecting_choice 4,Standard,DOK,Word count (passage),Lexile (passage),Flesch-Kincaid (passage),Does the passage have any images? (Yes/No),"Do the questions have any images or refer to an image, table, or other illustration? (Yes/ No)",Do the options/ choices have any images? (Yes/No),Footnote to passage (write text in footnote),Copyright information,Other instructions,Other information
2019-released-items-ela-g4,1,,,,17,5. Which detail from the article does the map support?,Inference ,Main point or purpose,multiple_choice,"A ""Start the man, and I'll start the same day."" (paragraph 2)","B ""She reached New York in 41/2 days."" (paragraph 7)","C ""She met her challenge!"" (paragraph 8)","D ""She reported to her readers what she saw, thought, and felt . ."" (paragraph 9)",,,,C,0.38,,,,,CCSS.ELA-Literacy.RI.4.7,,,,,Yes,No,No,,,,
2019-released-items-ela-g4,1,,,,18,"6. Which sentence *best* states the main idea of ""Around the World""?",Inference ,Main point or purpose,multiple_choice,A Traveling around the world in a short period of time is a difficult goal.,B It was unusual for a woman to travel in the past.,C Geography is an important subject to study.,D A woman showed she can do anything.,,,,D,0.54,,,,,CCSS.ELA-Literacy.RI.4.2,,,,,Yes,No,No,,,,
2019-released-items-ela-g4,2,"""1. King Tiger thought he was the greatest tiger in the world. While I do not know if that was true, he was certainly the greediest. One day he said to himself, ""I wonder if there is tasty food nearby on the Island of Borneo.""

2. He called three of his strongest tigers and said to them, ""I have a job for you. You must swim to Borneo and ask their tiger king for food. Tell them the King of All Tigers demands it. If they don't agree, we will attack""

3. The King pulled out one of his large whiskers. ""Show him this and he will see what kind of tiger he is dealing with""

4. The three tigers swam over to Borneo, roaring all the way. Now, there were no tigers on Borneo, but all the animals hid when they heard the strange sounds and splashes. All except for Mouse Deer. He didn't hear them coming because he was busy eating his lunch of tender grass. Suddenly he looked up and saw three pairs of golden eyes staring at him.

5. ""Brave little morsel, isn't he?"" said one of the tigers. ""We have a message for your tiger king. Where is he?""

6. Mouse Deer thought, We have no tiger king. We have no tigers. But if I tell them that, I will be lunch for these tigers. I must think fast or, or... I will be lunch for these tigers.

7. He thought fast.

8. ""I can take your message to our tiger king,"" he said. ""But you look tired. Rest in the shade, and I will get him.""

9. ""Good idea,"" said the biggest tiger. ""Tell him that he must give us food, or we will attack. Show him King Tiger's whisker""

10. The whisker was so big it made Mouse Deer tremble. But he bravely hurried away with it in his mouth.

11. If I promise them food, they may eat me, he thought. What should I do?

12. He bounded on. Finally he had an idea. He found his friend Porcupine. ""Friend, the King of All Tigers wants to attack Borneo,' he said. ""He says we won't be able to fight him. Would you please let me have one of your quills?""

13. ""Gladly,' said Porcupine.

14. Mouse Deer waited awhile so that the tigers would think he had traveled far. When he came back they said, ""Well?""

15. ""O, Great Tigers,"" said Mouse Deer, ""when I reached our king he was sharpening his claws between two mountains. I gave him your message. He said, ""Good. It is too quiet around here. I'd be happy to fight that tiger. Send him over.' Then he pulled out one of his whiskers for you to give your king.""

16. The tigers were astonished. They had never seen a whisker as big and thick as that. They turned and left for their long swim back.

17. Mouse Deer pranced off on his tiny hoofs.

18. As soon as the tigers reached their island, they went to the King of All Tigers.

19. ""What took you so long?"" he roared.

20. ""Well,"" one tiger said, ""the King of Borneo looks forward to fighting the King of All Tigers. He sends his whisker.""

21. The King stared at it for a while. Then he spoke, ""I have been thinking while you were gone. We should demand food from the Island of the Elephants instead of the Island of Borneo.""

22. And that is why, even today, there are no tigers on Borneo. There are plenty of mouse deer, but no tigers.""",*Directions Read this story. Then answer questions 19 through 24*.,"*Mouse Deer and the Tigers*
_an Indonesian folktale retold by Marilyn Bolchunos_",19,"1. What does the word ""demand"" mean as it is used in paragraphs 2 and 21?",Identification or summarization ,Clarify meaning,multiple_choice,A to correct,B to look for,C to work on,D to insist,quill = a thick hair with a sharp point,,,D,0.66,,,,,CCSS.ELA-Literacy.L.4.4,,580,510L,2.5,Yes,No,No,,,,
2019-released-items-ela-g4,2,,,,20,2. What does the reader know in paragraphs 6 through 8 that the tigers do not know?,Identification or summarization ,Identify or recognize,multiple_choice,A King Tiger wants to take food from the Island of Borneo.,B The Island of Borneo has no tiger king.,C Mouse Deer is afraid of King Tiger's whisker.,D The whisker from Mouse Deer is not from a tiger.,,,,B,0.63,,,,,CCSS.ELA-Literacy.RL.4.6,,,,,Yes,No,No,,,,
2019-released-items-ela-g4,2,,,,21,3. Paragraph 15 supports a theme of the story by showing that Mouse Deer,Inference ,Passage org,multiple_choice,A honors the tigers,B is clever and brave,C is happy to be telling lies,D finds his king,,,,B,0.74,,,,,CCSS.ELA-Literacy.RL.4.2,,,,,Yes,No,No,,,,
2019-released-items-ela-g4,2,,,,22,"4. In paragraph 17, the phrase ""pranced off"" shows that Mouse Deer feels",Identification or summarization ,Clarify meaning,multiple_choice,A eager to run far away from the tigers,B satisfied with how things went with the tigers,C worried that the tigers will return with their king,D surprised to see that the tigers could swim,,,,B,0.36,,,,,CCSS.ELA-Literacy.RL.4.4,,,,,Yes,No,No,,,,
2019-released-items-ela-g4,2,,,,23,5. Which sentence *best* describes how Mouse Deer causes the event in paragraph 21?,Inference ,Main point or purpose,multiple_choice,A He sees three tigers looking at him.,B He carries King Tiger's whisker in his mouth.,C He asks Porcupine for one of his quills.,D He waits so the tigers will think he went far.,,,,C,0.48,,,,,CCSS.ELA-Literacy.RL.4.3,,,,,Yes,No,No,,,,
2019-released-items-ela-g4,2,,,,24,6. What do the details in paragraph 21 suggest about King Tiger?,Inference ,Inference about views,multiple_choice,A He wants to avoid showing that he is scared.,B He believes there is more food on a different island.,C He knows that it is important to plan ahead.,D He thinks he is the greatest tiger in the world.,,,,A,0.43,,,,,CCSS.ELA-Literacy.RL.4.3,,,,,Yes,No,No,,,,
2019-released-items-ela-g5,1,"""1. In the days when farmers worked with ox and sled and cut the dark with lantern light, there lived a boy who loved snow more than anything in the world. Willie Bentley's happiest days were snowstorm days. He watched snowflakes on his mittens, on the dried grass of Vermont farm fields, on the dark metal handle of the barn door. He said snow was as beautiful as butterflies, or apple blossoms.

2. He could net butterflies and show them to his older brother, Charlie. He could pick apple blossoms and take them to his mother. But he could not share snowflakes because he could not save them.

3. When his mother gave him an old microscope, he used it to look at flowers, raindrops, and blades of grass. Best of all, he used it to look at snow. While other children built forts and pelted snowballs at roosting crows, Willie was catching snowflakes. Day after stormy day he studied the icy crystals.

4. Their intricate patterns were even more beautiful than he had imagined. He expected to find whole flakes that were the same, that were copies of each other. But he never did. Willie decided he must find a way to save snowflakes so others could see their wonderful designs. For three winters he tried drawing snow crystals. They always melted before he could finish.

5. When he was sixteen, Willie read of a camera with its own microscope. ""If I had that camera I could photograph snowflakes,"" he told his mother. Willie's mother knew that he would not be happy until he could share what he had seen.

6. ""Fussing with snow is just foolishness,"" his father said. Still, he loved his son. When Willie was seventeen his parents spent their savings and bought the camera. It was taller than a newborn calf, and cost as much as his father's herd of ten cows. Willie was sure it was the best of all cameras.

7. Even so his first pictures were failures—no better than shadows. Yet he would not quit. Mistake by mistake, snowflake by snowflake, Willie worked through every storm. Winter ended, the snow melted, and he had no good pictures. He waited for another season of snow. One day, in the second winter, he tried a new experiment. And it worked! Willie had figured out how to photograph snowflakes! ""Now everyone can see the great beauty in a tiny crystal,"" he said.

8. But in those days, no one cared. Neighbors laughed at the idea of photographing snow. ""Snow in Vermont is as common as dirt,"" they said. ""We don't need pictures."" Willie said the photographs would be his gift to the world. While other farmers sat by the fire or rode to town with horse and sleigh, Willie studied snowstorms. He stood at the shed door and held out a black tray to catch the flakes.

9. When he found only jumbled, broken crystals, he brushed the tray clean with a turkey feather and held it out again. He waited hours for just the right crystal and didn't notice the cold. If the shed were warm the snow would melt. If he breathed on the black tray the snow would melt. If he twitched a muscle as he held the snow crystal on the long wood pick the snowflake would break. He had to work fast or the snowflake would evaporate before he could slide it into place and take its picture. Some winters he was able to make only a few dozen good pictures. Some winters he made hundreds. . . .

10. But his snow crystal pictures were always his favorites. He gave copies away or sold them for a few cents. He made special pictures as gifts for birthdays. He held evening slide shows on the lawns of his friends. Children and adults sat on the grass and watched while Willie projected his slides onto a sheet hung over a clothesline.

11. He wrote about snow and published his pictures in magazines. He gave speeches about snow to faraway scholars and neighborhood skywatchers. ""You are doing great work,"" said a professor from Wisconsin. The little farmer came to be known as the world's expert on snow, ""the Snowflake Man."" But he never grew rich. He spent every penny on his pictures. Willie said there were treasures in snow. ""I can't afford to miss a single snowstorm,"" he told a friend. ""I never know when I will find some wonderful prize.""""",*Directions. Read this article. Then answer questions 8 through 14.*,*Excerpt from Snowflake Bentley* _by Jacqueline Briggs Martin_,8,"1. Read this sentence from paragraph 1 of the article.
 *In the days when farmers worked with ox and sled and cut the dark with lantern light,
 there lived a boy who loved snow more than anything in the world.* 
 How does the author's word choice in the sentence affect the meaning of the passage?",Inference ,Passage org,multiple_choice,A by suggesting that the ideas in the passage are made up,B by showing that the subject of the passage became famous,C by suggesting that the topic of the passage is familiar,D by showing that the events in the passage happened long ago,,,Yes,D,0.7,,,,,CCSS.ELA-Literacy.RI.5.4,,736,670L,4.6,No,No,No,,,,
2019-released-items-ela-g5,1,,,,9,"2. What is the meaning of the word ""pelted"" as it is used in paragraph 3?",Identification or summarization ,Clarify meaning,multiple_choice,A created,B found,C saved,D threw,,,,D,0.82,,,,,CCSS.ELA-Literacy.L.5.4,,,,,No,No,No,,,,
2019-released-items-ela-g5,1,,,,10,3. Which quotation *best* supports a main idea of the article?,Inference ,Main point or purpose,multiple_choice,"A ""He expected to find whole flakes that were the same . . ."" (paragraph 4)","B "" ‘Fussing with snow is just foolishness,' his father said."" (paragraph 6)","C ""Even so his first pictures were failures . . ."" (paragraph 7)","D "" ‘Now everyone can see the great beauty in a tiny crystal,' he said."" (paragraph 7)",,,,D,0.71,,,,,CCSS.ELA-Literacy.RI.5.2,,,,,No,No,No,,,,
2019-released-items-ela-g5,1,,,,11,4. What does the information in paragraph 9 suggest about the author's point of view?,Inference ,Inference about views,multiple_choice,A The author believes that Bentley could have been more careful.,B The author respects Bentley's many different interests.,C The author admires Bentley's dedication.,D The author questions the methods Bentley used.,,,,C,0.53,,,,,CCSS.ELA-Literacy.RI.5.6,,,,,No,No,No,,,,
2019-released-items-ela-g5,1,,,,12,5. Which statement is true based on the information in paragraphs 6 and 11?,Inference ,Inference about views,multiple_choice,A Bentley's work with snow required expensive equipment that he was willing to spend all his money on.,B Bentley was thought to be foolish throughout his life because of his interest in snow.,C Bentley's parents thought he should do something with his life other than taking pictures of snow.,D Bentley became less interested in studying snow than in publishing pictures and giving speeches.,,,,A,0.52,,,,,CCSS.ELA-Literacy.RI.5.3,,,,,No,No,No,,,,
2019-released-items-ela-g5,1,,,,13,6. What does the reader learn about Bentley from paragraphs 10 and 11?,Inference ,Main point or purpose,multiple_choice,A He was more interested in sharing his work than in making money from it.,B He worked hard to develop a way of making photographs of snowflakes.,C He wanted to find out if all snowflakes were different from each other.,D He was able to follow his interests because of the help he got from his family.,,,,A,0.65,,,,,CCSS.ELA-Literacy.RI.5.3,,,,,No,No,No,,,,
2019-released-items-ela-g5,1,,,,14,7. Which sentence *best* describes how the article is organized?,Inference ,Passage org,multiple_choice,"A The reasons for Willie Bentley's experiments with snow are presented, followed by their eventual conclusions.",B The events of Willie Bentley's life and his study of snow are described as they happened over time.,C The different problems of photographing snow are explained and then Willie Bentley's solutions are described.,"D The important ideas about snow in Willie Bentley's discoveries are presented, followed by details and examples.",,,,B,0.51,,,,,CCSS.ELA-Literacy.RI.5.3,,,,,No,No,No,,,,
2019-released-items-ela-g5,2,"""1. In a valley in the highlands of Scotland, there once lived a young tenant farmer, Gregor, and his widowed mother. Although they worked hard, they could never accumulate enough money to buy the flock of sheep they longed to have, for their small parcel of land produced only modest amounts of oats and barley. To make matters worse, MacTavish, the owner of this and many other crofts, always found reasons not to pay the farmers all they had earned. . . .

2. When he opened the door each morning and looked out, he saw MacTavish's house on top of a mountain, a magnificent stone mansion surrounded by red, pink, and violet rhododendrons. Gregor often climbed the slope and stood outside the iron gates, wondering what fine furnishings and delicious foods lay within. Neighbors claimed that MacTavish owned many houses and even kept a chest of gems under his bed. As Gregor, his mother, and their neighbors grew gaunt and pale with hard work and not enough food, they railed against MacTavish, who had swindled all of them at one time or another.

3. One day, as Gregor listened to the bagpipe music that drifted from the open windows of MacTavish's mansion, he had an idea. That night, when his mother was asleep, he emptied the jug that held their money and counted it. After putting back a few coins for food, he put the rest in his pocket. The next morning, he hurried to the market, where he went from farmer to farmer, asking the prices of sheep for sale. Gregor found many handsome animals, but they were all too expensive. When he reached a stall with scrawny and sickly sheep, the owner beckoned to him. . . .

4. Gregor shook his head and began to walk away. The man grabbed his sleeve and whispered in his ear, ""This one will make her owner rich!"" Gregor examined the old sheep with spindly legs and dirty, unkempt wool—the worst of the lot. ""If she will make me rich,"" said Gregor, ""how is it that she has not done so for you?""

5. The man paused, thinking. ""I have not had her long enough!""

6. ""Nonsense,"" said Gregor, but he gave the man his money and led the pitiful animal home.

7. When his mother saw what he had bought with their money, she burst into tears. ""My foolish son, what have you done? Now we will starve, and no one will help us!""

8. ""Do as I say, Mother, and we will be rich. I promise.""

9. She wanted to believe him. Wiping her eyes with her ragged sleeve, she asked what he wanted her to do.

10. ""Go to market and tell everyone that your son has a sheep that will make whoever owns her rich,"" said Gregor. . . .

11. One morning, a carriage arrived. Two servants opened the door and a stout, well-dressed gentleman emerged. His Tartan kilt was made of the finest wool, his ascot was pure silk, and his shoes had silver buckles. On his fat fingers were eight gold rings, and his pomaded hair glistened in the sun. It was MacTavish!

12. Gregor bowed as if to royalty. MacTavish looked at him sternly. ""I have come to rid you of the unfortunate sheep that everyone is talking about,"" said MacTavish, opening his sporran. ""I can pay your price and I will have her, even though she has done nothing for you, I see."" MacTavish sneered at Gregor.

13. Gregor hugged Dear One. ""I will not sell her to you!""

14. At that, MacTavish, whose servants were helping him into his carriage, turned and marched back. ""I will pay anything,"" he said. ""Name the price.""

15. Gregor was ready. ""That,"" he said, pointing up to the mansion above them. ""I will have the dwelling and everything in it—furniture, utensils, even the chest of gems under your bed.""

16. ""Done,"" said MacTavish.

17. The next day, Gregor and his mother moved into the mansion that had once belonged to MacTavish, and MacTavish brought Dear One to the market so that all might see he could indeed own anything he wanted. Then MacTavish and the sheep rode away in his carriage to another of his houses in a valley beyond the mountains.

18. After months had passed and the sheep had done nothing to increase MacTavish's riches, he realized he had been swindled. Furious beyond speech, he returned to the mansion, but Gregor would not open the gates.

19. ""I have been cheated!"" shouted MacTavish.

20. ""You have not been cheated,"" said Gregor. ""I was the owner of the sheep, and she has made me rich, hasn't she?""

21. ""Yes, but . . . ,"" sputtered MacTavish.

22. ""Then you got what you paid for."" Gregor turned and walked away.

23. Soon afterward, Gregor sold the chest of gems and bought the huge flock of sheep he and his mother had always wanted. He shared the rest of his fortune with the other poor families of the valley who had been cheated by MacTavish.""",*Directions Read this story. Then answer questions 15 through 21.*,*Excerpt from Gregor and the Sheep* _by Toby Rosenstrauch_,15,1. How do paragraphs 1 and 23 relate to each other?,Inference ,Passage org,multiple_choice,A They show the change in Gregor's life during the story.,B They show what Gregor has learned in the story.,C They show how MacTavish changes in the story.,D They show the growth of MacTavish's fortune during the story.,crofts = small farms; swindled = cheated or tricked; Tartan kilt = traditional clothing worn by Scottish Highlanders; ascot = a type of necktie; sporran = a small bag worn at the waist for holding personal items,,,A,0.75,,,,,CCSS.ELA-Literacy.RL.5.5,,816,980L,5.7,No,No,No,,,,
2019-released-items-ela-g5,2,,,,16,"2. What does the phrase ""marched back"" in paragraph 14 suggest about MacTavish?",Inference ,Inference about views,multiple_choice,A He is confused.,B He is worried.,C He is determined.,D He is excited.,,,,C,0.7,,,,,CCSS.ELA-Literacy.RL.5.4,,,,,No,No,No,,,,
2019-released-items-ela-g5,2,,,,17,3. How are Gregor and the man who sold the sheep to him similar?,Inference ,Inference about views,multiple_choice,A They are both unskilled at selling things to people.,B They both try to trick someone in order to make money.,C They are both concerned with helping their family and neighbors.,D They both believe that animals can have special qualities.,,,,B,0.61,,,,,CCSS.ELA-Literacy.RL.5.3,,,,,No,No,No,,,,
2019-released-items-ela-g5,2,,,,18,4. Which of Gregor's actions shows how he is different from MacTavish?,Inference ,Inference about views,multiple_choice,A Gregor cheats another person.,B Gregor buys a sickly sheep.,C Gregor shares his wealth.,D Gregor moves to a big house.,,,,C,0.75,,,,,CCSS.ELA-Literacy.RL.5.3,,,,,No,No,No,,,,
2019-released-items-ela-g5,2,,,,19,5. Which sentence is true about Gregor and MacTavish?,Inference ,Inference about views,multiple_choice,"A MacTavish has a plan for how the sheep will make him rich, but Gregor does not.","B MacTavish wants to own big houses and many jewels, but Gregor does not.","C Gregor wants to move away to another land, but MacTavish does not.","D Gregor is generous with his family and his neighbors, but MacTavish is not.",,,,D,0.76,,,,,CCSS.ELA-Literacy.RL.5.3,,,,,No,No,No,,,,
2019-released-items-ela-g5,2,,,,20,6. Which sentence expresses a theme of the story?,Inference ,Passage org,multiple_choice,A Big loss can come from being greedy.,B Family can make hard times seem easier.,C Wealth may come from hard work.,D Appreciating others can lead to happiness.,,,,A,0.53,,,,,CCSS.ELA-Literacy.RL.5.2,,,,,No,No,No,,,,
